,HKUST-1,Cu(BDC),Cu(BPDC),Cu(BDC)(dabco),Concentration,Type
55,0.24,0.464,0.152,0.251,200ppm,Methanol
56,0.229,0.451,0.156,0.256,200ppm,Methanol
57,0.233,0.446,0.152,0.264,200ppm,Methanol
58,0.237,0.453,0.158,0.262,200ppm,Methanol
59,0.232,0.459,0.162,0.261,200ppm,Methanol
60,0.226,0.453,0.178,0.263,200ppm,Methanol
61,0.235,0.46,0.151,0.252,200ppm,Methanol
62,0.23,0.459,0.167,0.257,200ppm,Methanol
63,0.231,0.465,0.165,0.264,200ppm,Methanol
64,0.233,0.455,0.173,0.264,200ppm,Methanol
65,0.231,0.45,0.18,0.25,200ppm,Methanol
66,0.229,0.454,0.179,0.26,200ppm,Methanol
67,0.227,0.447,0.171,0.26,200ppm,Methanol
68,0.228,0.454,0.179,0.26,200ppm,Methanol
69,0.223,0.446,0.15,0.258,200ppm,Methanol
70,0.239,0.455,0.17,0.261,200ppm,Methanol
71,0.226,0.46,0.173,0.257,200ppm,Methanol
72,0.222,0.461,0.159,0.255,200ppm,Methanol
73,0.232,0.459,0.157,0.261,200ppm,Methanol
74,0.227,0.445,0.153,0.264,200ppm,Methanol
75,0.237,0.46,0.177,0.26,200ppm,Methanol
76,0.234,0.458,0.16,0.251,200ppm,Methanol
77,0.227,0.46,0.176,0.259,200ppm,Methanol
78,0.225,0.446,0.157,0.254,200ppm,Methanol
79,0.225,0.46,0.157,0.257,200ppm,Methanol
80,0.221,0.447,0.152,0.263,200ppm,Methanol
81,0.237,0.461,0.156,0.261,200ppm,Methanol
82,0.24,0.456,0.178,0.259,200ppm,Methanol
83,0.235,0.453,0.179,0.256,200ppm,Methanol
84,0.233,0.447,0.166,0.25,200ppm,Methanol
85,0.232,0.465,0.158,0.25,200ppm,Methanol
86,0.237,0.453,0.172,0.25,200ppm,Methanol
87,0.229,0.446,0.173,0.262,200ppm,Methanol
88,0.228,0.448,0.152,0.262,200ppm,Methanol
89,0.239,0.449,0.178,0.264,200ppm,Methanol
90,0.227,0.46,0.166,0.25,200ppm,Methanol
91,0.225,0.447,0.167,0.252,200ppm,Methanol
92,0.224,0.462,0.159,0.25,200ppm,Methanol
93,0.221,0.452,0.152,0.253,200ppm,Methanol
94,0.234,0.446,0.154,0.251,200ppm,Methanol
95,0.24,0.458,0.17,0.252,200ppm,Methanol
96,0.237,0.458,0.159,0.254,200ppm,Methanol
97,0.221,0.457,0.177,0.262,200ppm,Methanol
98,0.223,0.447,0.165,0.258,200ppm,Methanol
99,0.229,0.45,0.178,0.264,200ppm,Methanol
100,0.23,0.46,0.165,0.256,200ppm,Methanol
101,0.236,0.464,0.154,0.252,200ppm,Methanol
102,0.227,0.445,0.17,0.254,200ppm,Methanol
103,0.221,0.446,0.162,0.26,200ppm,Methanol
104,0.238,0.448,0.162,0.264,200ppm,Methanol
105,0.236,0.464,0.17,0.254,200ppm,Methanol
106,0.238,0.445,0.167,0.253,200ppm,Methanol
107,0.236,0.464,0.169,0.255,200ppm,Methanol
108,0.239,0.463,0.157,0.262,200ppm,Methanol
109,0.23,0.45,0.175,0.255,200ppm,Methanol
110,0.228,0.457,0.162,0.26,200ppm,Methanol
111,0.229,0.446,0.161,0.254,200ppm,Methanol
112,0.235,0.452,0.15,0.254,200ppm,Methanol
113,0.234,0.46,0.177,0.265,200ppm,Methanol
114,0.237,0.46,0.172,0.256,200ppm,Methanol
115,0.23,0.449,0.161,0.264,200ppm,Methanol
116,0.236,0.448,0.171,0.26,200ppm,Methanol
117,0.239,0.445,0.164,0.265,200ppm,Methanol
118,0.235,0.461,0.154,0.265,200ppm,Methanol
119,0.238,0.458,0.151,0.261,200ppm,Methanol
120,0.226,0.447,0.166,0.25,200ppm,Methanol
121,0.226,0.46,0.16,0.257,200ppm,Methanol
122,0.231,0.46,0.162,0.265,200ppm,Methanol
123,0.227,0.453,0.167,0.259,200ppm,Methanol
124,0.231,0.452,0.173,0.25,200ppm,Methanol
125,0.223,0.458,0.169,0.25,200ppm,Methanol
126,0.221,0.461,0.158,0.265,200ppm,Methanol
127,0.227,0.446,0.152,0.258,200ppm,Methanol
128,0.239,0.449,0.15,0.255,200ppm,Methanol
129,0.228,0.462,0.153,0.255,200ppm,Methanol
130,0.225,0.452,0.163,0.254,200ppm,Methanol
131,0.229,0.456,0.167,0.253,200ppm,Methanol
132,0.227,0.449,0.17,0.256,200ppm,Methanol
133,0.225,0.453,0.162,0.258,200ppm,Methanol
134,0.234,0.456,0.169,0.251,200ppm,Methanol
135,0.228,0.462,0.154,0.263,200ppm,Methanol
136,0.226,0.458,0.169,0.264,200ppm,Methanol
137,0.234,0.455,0.166,0.265,200ppm,Methanol
138,0.226,0.459,0.177,0.265,200ppm,Methanol
139,0.231,0.455,0.152,0.255,200ppm,Methanol
140,0.228,0.457,0.155,0.252,200ppm,Methanol
141,0.237,0.462,0.175,0.255,200ppm,Methanol
142,0.226,0.463,0.161,0.262,200ppm,Methanol
143,0.227,0.445,0.154,0.256,200ppm,Methanol
144,0.225,0.458,0.174,0.26,200ppm,Methanol
145,0.24,0.454,0.176,0.254,200ppm,Methanol
146,0.228,0.449,0.171,0.26,200ppm,Methanol
147,0.235,0.462,0.172,0.265,200ppm,Methanol
148,0.229,0.458,0.177,0.25,200ppm,Methanol
149,0.226,0.456,0.151,0.259,200ppm,Methanol
150,0.237,0.464,0.152,0.261,200ppm,Methanol
151,0.233,0.445,0.153,0.265,200ppm,Methanol
152,0.239,0.465,0.177,0.25,200ppm,Methanol
153,0.236,0.455,0.162,0.252,200ppm,Methanol
154,0.226,0.463,0.153,0.26,200ppm,Methanol
155,0.229,0.454,0.152,0.256,200ppm,Methanol
156,0.234,0.452,0.151,0.259,200ppm,Methanol
157,0.233,0.452,0.175,0.263,200ppm,Methanol
158,0.232,0.459,0.159,0.258,200ppm,Methanol
159,0.231,0.461,0.153,0.262,200ppm,Methanol
160,0.234,0.465,0.174,0.264,200ppm,Methanol
161,0.223,0.461,0.157,0.261,200ppm,Methanol
162,0.24,0.45,0.168,0.264,200ppm,Methanol
163,0.236,0.465,0.155,0.26,200ppm,Methanol
164,0.232,0.449,0.164,0.252,200ppm,Methanol
165,0.223,0.46,0.159,0.256,200ppm,Methanol
166,0.228,0.458,0.155,0.259,200ppm,Methanol
167,0.222,0.462,0.153,0.258,200ppm,Methanol
168,0.234,0.464,0.173,0.265,200ppm,Methanol
169,0.237,0.46,0.176,0.263,200ppm,Methanol
170,0.238,0.451,0.151,0.254,200ppm,Methanol
171,0.229,0.45,0.158,0.261,200ppm,Methanol
172,0.229,0.445,0.155,0.261,200ppm,Methanol
173,0.238,0.454,0.152,0.261,200ppm,Methanol
174,0.225,0.465,0.168,0.261,200ppm,Methanol
175,0.224,0.445,0.171,0.254,200ppm,Methanol
176,0.222,0.449,0.151,0.265,200ppm,Methanol
177,0.238,0.446,0.154,0.255,200ppm,Methanol
178,0.234,0.465,0.162,0.252,200ppm,Methanol
179,0.237,0.455,0.156,0.255,200ppm,Methanol
180,0.227,0.445,0.155,0.258,200ppm,Methanol
181,0.23,0.461,0.175,0.25,200ppm,Methanol
182,0.235,0.458,0.163,0.253,200ppm,Methanol
183,0.23,0.447,0.156,0.262,200ppm,Methanol
184,0.234,0.459,0.15,0.263,200ppm,Methanol
185,0.236,0.448,0.18,0.256,200ppm,Methanol
186,0.221,0.463,0.151,0.251,200ppm,Methanol
187,0.223,0.45,0.18,0.259,200ppm,Methanol
188,0.228,0.452,0.171,0.259,200ppm,Methanol
189,0.238,0.462,0.153,0.256,200ppm,Methanol
190,0.228,0.448,0.177,0.254,200ppm,Methanol
191,0.222,0.46,0.153,0.251,200ppm,Methanol
192,0.222,0.448,0.162,0.263,200ppm,Methanol
193,0.223,0.447,0.173,0.261,200ppm,Methanol
194,0.231,0.449,0.158,0.253,200ppm,Methanol
195,0.231,0.453,0.162,0.251,200ppm,Methanol
196,0.227,0.459,0.177,0.259,200ppm,Methanol
197,0.229,0.464,0.154,0.251,200ppm,Methanol
198,0.222,0.454,0.151,0.265,200ppm,Methanol
199,0.239,0.458,0.174,0.251,200ppm,Methanol
200,0.235,0.455,0.154,0.258,200ppm,Methanol
201,0.238,0.449,0.171,0.261,200ppm,Methanol
202,0.248,0.39,0.125,0.561,200ppm,Ethanol
203,0.243,0.384,0.125,0.568,200ppm,Ethanol
204,0.249,0.39,0.137,0.576,200ppm,Ethanol
205,0.238,0.386,0.136,0.574,200ppm,Ethanol
206,0.255,0.381,0.138,0.576,200ppm,Methanol
207,0.242,0.392,0.133,0.575,200ppm,1-Butanol
208,0.24,0.384,0.135,0.565,200ppm,1-Butanol
209,0.244,0.386,0.138,0.58,200ppm,1-Butanol
210,0.236,0.384,0.133,0.562,200ppm,1-Butanol
211,0.244,0.383,0.138,0.573,200ppm,1-Butanol
212,0.247,0.385,0.128,0.572,200ppm,1-Butanol
213,0.254,0.393,0.133,0.564,200ppm,1-Propanol
214,0.235,0.394,0.123,0.57,200ppm,1-Propanol
215,0.251,0.389,0.132,0.565,200ppm,1-Propanol
216,0.25,0.394,0.134,0.56,200ppm,1-Propanol
217,0.254,0.394,0.137,0.562,200ppm,1-Propanol
218,0.256,0.382,0.128,0.564,200ppm,1-Propanol
219,0.24,0.381,0.13,0.58,200ppm,1-Propanol
220,0.244,0.389,0.134,0.57,200ppm,1-Propanol
221,0.254,0.395,0.136,0.579,200ppm,1-Propanol
222,0.242,0.394,0.138,0.572,200ppm,1-Propanol
223,0.252,0.382,0.127,0.575,200ppm,Ethanol
224,0.236,0.385,0.129,0.573,200ppm,Ethanol
225,0.236,0.388,0.132,0.578,200ppm,Ethanol
226,0.244,0.384,0.125,0.561,200ppm,Ethanol
227,0.242,0.385,0.125,0.573,200ppm,Ethanol
228,0.247,0.383,0.127,0.565,200ppm,Ethanol
229,0.256,0.382,0.128,0.569,200ppm,Ethanol
230,0.24,0.381,0.124,0.571,200ppm,Ethanol
231,0.251,0.387,0.128,0.577,200ppm,Ethanol
232,0.239,0.384,0.13,0.58,200ppm,Ethanol
233,0.251,0.395,0.132,0.574,200ppm,Ethanol
234,0.241,0.387,0.131,0.56,200ppm,Ethanol
235,0.252,0.389,0.135,0.564,200ppm,Ethanol
236,0.244,0.384,0.129,0.58,200ppm,Ethanol
237,0.237,0.392,0.132,0.571,200ppm,Ethanol
238,0.238,0.381,0.136,0.574,200ppm,Ethanol
239,0.25,0.389,0.131,0.574,200ppm,Ethanol
240,0.242,0.383,0.131,0.572,200ppm,Ethanol
241,0.237,0.382,0.128,0.574,200ppm,Ethanol
242,0.249,0.393,0.13,0.579,200ppm,Ethanol
243,0.241,0.388,0.124,0.564,200ppm,Ethanol
244,0.251,0.381,0.126,0.573,200ppm,Ethanol
245,0.253,0.386,0.131,0.574,200ppm,Ethanol
246,0.249,0.382,0.135,0.578,200ppm,Ethanol
247,0.255,0.386,0.132,0.566,200ppm,Ethanol
248,0.251,0.394,0.124,0.577,200ppm,Ethanol
249,0.246,0.396,0.125,0.577,200ppm,Ethanol
250,0.244,0.393,0.123,0.573,200ppm,Ethanol
251,0.242,0.387,0.125,0.58,200ppm,Ethanol
252,0.238,0.388,0.123,0.57,200ppm,Ethanol
253,0.244,0.388,0.137,0.57,200ppm,Ethanol
254,0.253,0.393,0.13,0.569,200ppm,Ethanol
255,0.238,0.38,0.129,0.568,200ppm,Ethanol
256,0.254,0.38,0.138,0.569,200ppm,Ethanol
257,0.237,0.383,0.135,0.58,200ppm,Ethanol
258,0.248,0.386,0.128,0.573,200ppm,Ethanol
259,0.243,0.38,0.131,0.572,200ppm,Ethanol
260,0.247,0.384,0.124,0.564,200ppm,Ethanol
261,0.255,0.387,0.135,0.565,200ppm,Ethanol
262,0.255,0.394,0.123,0.573,200ppm,Ethanol
263,0.236,0.393,0.137,0.566,200ppm,Ethanol
264,0.243,0.396,0.133,0.579,200ppm,Ethanol
265,0.249,0.385,0.128,0.58,200ppm,Ethanol
266,0.25,0.385,0.125,0.561,200ppm,Ethanol
267,0.255,0.396,0.123,0.574,200ppm,Ethanol
268,0.25,0.394,0.125,0.562,200ppm,Ethanol
269,0.249,0.393,0.138,0.573,200ppm,Ethanol
270,0.255,0.395,0.128,0.561,200ppm,Ethanol
271,0.242,0.39,0.133,0.577,200ppm,Ethanol
272,0.241,0.393,0.134,0.573,200ppm,Ethanol
273,0.254,0.394,0.132,0.573,200ppm,Ethanol
274,0.248,0.396,0.125,0.573,200ppm,Ethanol
275,0.24,0.389,0.124,0.566,200ppm,Ethanol
276,0.247,0.391,0.133,0.569,200ppm,Ethanol
277,0.239,0.394,0.132,0.573,200ppm,Ethanol
278,0.238,0.393,0.134,0.575,200ppm,Ethanol
279,0.244,0.394,0.127,0.576,200ppm,Ethanol
280,0.244,0.396,0.13,0.577,200ppm,Ethanol
281,0.253,0.383,0.135,0.563,200ppm,Ethanol
282,0.239,0.391,0.129,0.577,200ppm,Ethanol
283,0.244,0.392,0.136,0.58,200ppm,Ethanol
284,0.253,0.384,0.128,0.58,200ppm,Ethanol
285,0.25,0.393,0.126,0.57,200ppm,Ethanol
286,0.242,0.393,0.132,0.57,200ppm,Ethanol
287,0.251,0.389,0.138,0.576,200ppm,Ethanol
288,0.243,0.392,0.132,0.561,200ppm,Ethanol
289,0.254,0.39,0.13,0.569,200ppm,Ethanol
290,0.251,0.382,0.133,0.573,200ppm,Ethanol
291,0.237,0.387,0.127,0.58,200ppm,Ethanol
292,0.243,0.386,0.133,0.564,200ppm,Ethanol
293,0.243,0.385,0.125,0.58,200ppm,Ethanol
294,0.243,0.386,0.125,0.561,200ppm,Ethanol
295,0.25,0.383,0.133,0.573,200ppm,Ethanol
296,0.235,0.382,0.127,0.571,200ppm,Ethanol
297,0.239,0.388,0.127,0.579,200ppm,Ethanol
298,0.239,0.383,0.133,0.578,200ppm,Ethanol
299,0.25,0.383,0.123,0.566,200ppm,Ethanol
300,0.251,0.38,0.132,0.58,200ppm,Ethanol
301,0.25,0.388,0.138,0.567,200ppm,Ethanol
302,0.251,0.395,0.134,0.579,200ppm,Ethanol
303,0.241,0.391,0.131,0.576,200ppm,Ethanol
304,0.246,0.38,0.128,0.579,200ppm,Ethanol
305,0.244,0.395,0.135,0.561,200ppm,Ethanol
306,0.236,0.391,0.137,0.564,200ppm,Ethanol
307,0.235,0.39,0.128,0.576,200ppm,Ethanol
308,0.242,0.395,0.129,0.56,200ppm,Ethanol
309,0.251,0.39,0.131,0.579,200ppm,Ethanol
310,0.243,0.385,0.125,0.56,200ppm,Ethanol
311,0.247,0.387,0.131,0.576,200ppm,Ethanol
312,0.249,0.387,0.133,0.563,200ppm,Ethanol
313,0.244,0.393,0.135,0.565,200ppm,Ethanol
314,0.252,0.384,0.135,0.56,200ppm,Ethanol
315,0.248,0.393,0.126,0.576,200ppm,Ethanol
316,0.235,0.39,0.135,0.58,200ppm,Ethanol
317,0.252,0.386,0.132,0.577,200ppm,Ethanol
318,0.241,0.387,0.131,0.563,200ppm,Ethanol
319,0.254,0.384,0.133,0.567,200ppm,Ethanol
320,0.239,0.384,0.123,0.564,200ppm,Ethanol
321,0.241,0.391,0.137,0.58,200ppm,Ethanol
322,0.235,0.387,0.129,0.57,200ppm,Ethanol
323,0.253,0.383,0.134,0.575,200ppm,Ethanol
324,0.249,0.385,0.135,0.561,200ppm,Ethanol
325,0.252,0.391,0.131,0.579,200ppm,Ethanol
326,0.256,0.392,0.125,0.574,200ppm,Ethanol
327,0.255,0.385,0.138,0.569,200ppm,Ethanol
328,0.248,0.391,0.123,0.572,200ppm,Ethanol
329,0.235,0.394,0.123,0.565,200ppm,Ethanol
330,0.243,0.39,0.123,0.574,200ppm,Ethanol
331,0.247,0.392,0.135,0.576,200ppm,Ethanol
332,0.244,0.393,0.125,0.574,200ppm,Ethanol
333,0.247,0.392,0.128,0.578,200ppm,Ethanol
334,0.235,0.383,0.134,0.563,200ppm,Ethanol
335,0.244,0.381,0.126,0.564,200ppm,Ethanol
336,0.239,0.382,0.123,0.565,200ppm,Ethanol
337,0.237,0.385,0.138,0.571,200ppm,Ethanol
338,0.25,0.391,0.138,0.56,200ppm,Ethanol
339,0.255,0.381,0.13,0.564,200ppm,Ethanol
340,0.251,0.38,0.138,0.561,200ppm,Ethanol
341,0.249,0.393,0.132,0.573,200ppm,Ethanol
342,0.248,0.381,0.132,0.56,200ppm,Ethanol
343,0.246,0.394,0.127,0.562,200ppm,Ethanol
344,0.255,0.396,0.138,0.576,200ppm,Ethanol
345,0.246,0.383,0.132,0.566,200ppm,Ethanol
346,0.242,0.385,0.128,0.56,200ppm,Ethanol
347,0.244,0.386,0.124,0.56,200ppm,Ethanol
348,0.244,0.389,0.137,0.578,200ppm,Ethanol
349,0.245,0.38,0.133,0.568,200ppm,Ethanol
350,0.256,0.382,0.131,0.575,200ppm,Ethanol
351,0.241,0.387,0.127,0.563,200ppm,Ethanol
352,0.246,0.395,0.126,0.576,200ppm,Ethanol
353,0.252,0.391,0.137,0.562,200ppm,Ethanol
354,0.242,0.38,0.129,0.564,200ppm,Ethanol
355,0.25,0.394,0.126,0.566,200ppm,Ethanol
356,0.244,0.385,0.129,0.566,200ppm,Ethanol
357,0.239,0.389,0.136,0.563,200ppm,Ethanol
358,0.254,0.381,0.127,0.58,200ppm,Ethanol
359,0.248,0.394,0.127,0.56,200ppm,Ethanol
360,0.24,0.382,0.136,0.577,200ppm,Ethanol
361,0.252,0.394,0.137,0.564,200ppm,Ethanol
362,0.252,0.385,0.127,0.56,200ppm,Ethanol
363,0.255,0.391,0.131,0.566,200ppm,Ethanol
364,0.244,0.395,0.137,0.56,200ppm,Ethanol
365,0.249,0.382,0.13,0.567,200ppm,Ethanol
366,0.255,0.394,0.132,0.575,200ppm,Ethanol
367,0.248,0.384,0.124,0.564,200ppm,Ethanol
368,0.246,0.393,0.136,0.574,200ppm,Ethanol
369,0.247,0.39,0.136,0.577,200ppm,Ethanol
370,0.245,0.39,0.133,0.562,200ppm,Ethanol
371,0.247,0.381,0.124,0.56,200ppm,Ethanol
372,0.251,0.387,0.133,0.578,200ppm,Ethanol
373,0.251,0.384,0.131,0.57,200ppm,Ethanol
374,0.244,0.385,0.124,0.579,200ppm,Ethanol
375,0.256,0.384,0.13,0.577,200ppm,Ethanol
376,0.24,0.381,0.136,0.573,200ppm,Ethanol
377,0.248,0.385,0.137,0.569,200ppm,Ethanol
378,0.251,0.38,0.125,0.577,200ppm,Ethanol
379,0.256,0.395,0.136,0.574,200ppm,Ethanol
380,0.242,0.391,0.137,0.566,200ppm,Ethanol
381,0.237,0.382,0.123,0.574,200ppm,Ethanol
382,0.253,0.393,0.125,0.564,200ppm,Ethanol
383,0.248,0.388,0.129,0.567,200ppm,Ethanol
384,0.238,0.395,0.13,0.58,200ppm,Ethanol
385,0.248,0.38,0.128,0.561,200ppm,Ethanol
386,0.244,0.385,0.128,0.575,200ppm,Ethanol
387,0.251,0.384,0.133,0.578,200ppm,Ethanol
388,0.245,0.396,0.13,0.577,200ppm,Ethanol
389,0.242,0.38,0.123,0.578,200ppm,Ethanol
390,0.245,0.38,0.131,0.573,200ppm,Ethanol
391,0.244,0.386,0.132,0.57,200ppm,Ethanol
392,0.24,0.383,0.13,0.574,200ppm,Ethanol
393,0.247,0.388,0.132,0.56,200ppm,Ethanol
394,0.239,0.385,0.137,0.568,200ppm,Ethanol
395,0.24,0.393,0.13,0.576,200ppm,Ethanol
396,0.246,0.386,0.133,0.571,200ppm,Ethanol
397,0.255,0.385,0.133,0.561,200ppm,Ethanol
398,0.253,0.383,0.125,0.56,200ppm,Ethanol
399,0.248,0.382,0.128,0.565,200ppm,Ethanol
400,0.235,0.384,0.13,0.564,200ppm,Ethanol
401,0.244,0.392,0.123,0.575,200ppm,Ethanol
402,0.241,0.385,0.126,0.57,200ppm,Ethanol
403,0.246,0.313,0.118,0.371,200ppm,1-Propanol
404,0.239,0.312,0.124,0.379,200ppm,Methanol
405,0.248,0.313,0.12,0.371,200ppm,Methanol
406,0.237,0.309,0.114,0.384,200ppm,Methanol
407,0.242,0.302,0.124,0.377,200ppm,Methanol
408,0.239,0.316,0.122,0.384,200ppm,Methanol
409,0.25,0.301,0.119,0.384,200ppm,Ethanol
410,0.244,0.303,0.111,0.381,200ppm,Ethanol
411,0.235,0.315,0.11,0.375,200ppm,Ethanol
412,0.245,0.301,0.114,0.375,200ppm,Ethanol
413,0.235,0.317,0.112,0.372,200ppm,Ethanol
414,0.24,0.3,0.114,0.38,200ppm,Ethanol
415,0.243,0.318,0.123,0.383,200ppm,Ethanol
416,0.25,0.308,0.111,0.381,200ppm,Ethanol
417,0.245,0.317,0.116,0.378,200ppm,Ethanol
418,0.25,0.31,0.111,0.376,200ppm,1-Butanol
419,0.249,0.309,0.113,0.372,200ppm,1-Butanol
420,0.249,0.309,0.116,0.378,200ppm,1-Butanol
421,0.237,0.3,0.123,0.385,200ppm,1-Butanol
422,0.248,0.314,0.125,0.385,200ppm,1-Butanol
423,0.235,0.303,0.117,0.383,200ppm,1-Butanol
424,0.247,0.311,0.114,0.378,200ppm,1-Butanol
425,0.242,0.315,0.115,0.375,200ppm,1-Butanol
426,0.245,0.299,0.114,0.377,200ppm,1-Butanol
427,0.245,0.314,0.121,0.375,200ppm,1-Propanol
428,0.236,0.3,0.124,0.371,200ppm,1-Propanol
429,0.239,0.318,0.11,0.371,200ppm,1-Propanol
430,0.245,0.318,0.114,0.38,200ppm,1-Propanol
431,0.237,0.302,0.125,0.37,200ppm,1-Propanol
432,0.25,0.304,0.124,0.377,200ppm,1-Propanol
433,0.235,0.318,0.111,0.379,200ppm,1-Propanol
434,0.246,0.317,0.125,0.38,200ppm,1-Propanol
435,0.239,0.311,0.114,0.384,200ppm,1-Propanol
436,0.238,0.301,0.117,0.378,200ppm,1-Propanol
437,0.248,0.299,0.125,0.376,200ppm,1-Propanol
438,0.245,0.303,0.112,0.378,200ppm,1-Propanol
439,0.236,0.302,0.121,0.376,200ppm,1-Propanol
440,0.246,0.316,0.123,0.385,200ppm,1-Propanol
441,0.24,0.296,0.12,0.376,200ppm,1-Propanol
442,0.246,0.318,0.11,0.373,200ppm,1-Propanol
443,0.239,0.312,0.119,0.379,200ppm,1-Propanol
444,0.243,0.307,0.115,0.373,200ppm,1-Propanol
445,0.237,0.311,0.114,0.384,200ppm,1-Propanol
446,0.241,0.299,0.114,0.37,200ppm,1-Propanol
447,0.239,0.298,0.119,0.375,200ppm,1-Propanol
448,0.248,0.308,0.121,0.37,200ppm,1-Propanol
449,0.242,0.316,0.114,0.379,200ppm,1-Propanol
450,0.244,0.306,0.126,0.375,200ppm,1-Propanol
451,0.25,0.302,0.117,0.381,200ppm,1-Propanol
452,0.25,0.317,0.125,0.374,200ppm,1-Propanol
453,0.25,0.312,0.121,0.384,200ppm,1-Propanol
454,0.237,0.318,0.117,0.377,200ppm,1-Propanol
455,0.239,0.3,0.121,0.383,200ppm,1-Propanol
456,0.242,0.314,0.116,0.377,200ppm,1-Propanol
457,0.244,0.3,0.111,0.385,200ppm,1-Propanol
458,0.237,0.299,0.113,0.381,200ppm,1-Propanol
459,0.242,0.302,0.113,0.383,200ppm,1-Propanol
460,0.239,0.302,0.121,0.377,200ppm,1-Propanol
461,0.245,0.313,0.115,0.37,200ppm,1-Propanol
462,0.237,0.311,0.115,0.382,200ppm,1-Propanol
463,0.242,0.301,0.116,0.384,200ppm,1-Propanol
464,0.247,0.309,0.126,0.373,200ppm,1-Propanol
465,0.248,0.308,0.116,0.378,200ppm,1-Propanol
466,0.247,0.307,0.11,0.379,200ppm,1-Propanol
467,0.246,0.311,0.112,0.375,200ppm,1-Propanol
468,0.243,0.303,0.11,0.382,200ppm,1-Propanol
469,0.245,0.302,0.115,0.37,200ppm,1-Propanol
470,0.241,0.298,0.12,0.372,200ppm,1-Propanol
471,0.245,0.315,0.112,0.373,200ppm,1-Propanol
472,0.238,0.313,0.111,0.378,200ppm,1-Propanol
473,0.244,0.311,0.112,0.372,200ppm,1-Propanol
474,0.248,0.313,0.117,0.377,200ppm,1-Propanol
475,0.235,0.296,0.111,0.372,200ppm,1-Propanol
476,0.242,0.304,0.126,0.383,200ppm,1-Propanol
477,0.247,0.299,0.113,0.383,200ppm,1-Propanol
478,0.241,0.318,0.113,0.38,200ppm,1-Propanol
479,0.239,0.307,0.119,0.383,200ppm,1-Propanol
480,0.25,0.306,0.118,0.375,200ppm,1-Propanol
481,0.245,0.308,0.12,0.376,200ppm,1-Propanol
482,0.242,0.3,0.119,0.38,200ppm,1-Propanol
483,0.237,0.298,0.123,0.371,200ppm,1-Propanol
