,HKUST-1,Cu(BDC),Cu(BPDC),Cu(BDC)(dabco),Concentration,Type
40,0.102,0.204,0.088,0.135,100ppm,Methanol
41,0.117,0.21,0.077,0.11,100ppm,Methanol
42,0.127,0.195,0.091,0.12,100ppm,Methanol
43,0.126,0.202,0.079,0.126,100ppm,Methanol
44,0.108,0.215,0.092,0.127,100ppm,Methanol
45,0.117,0.199,0.091,0.12,100ppm,Methanol
46,0.128,0.213,0.076,0.141,100ppm,Methanol
47,0.127,0.208,0.083,0.118,100ppm,Methanol
48,0.107,0.2,0.084,0.143,100ppm,Methanol
49,0.112,0.203,0.079,0.141,100ppm,Methanol
50,0.123,0.205,0.084,0.123,100ppm,Methanol
51,0.108,0.195,0.084,0.14,100ppm,Methanol
52,0.109,0.206,0.083,0.127,100ppm,Methanol
53,0.116,0.208,0.081,0.144,100ppm,Methanol
54,0.128,0.204,0.081,0.112,100ppm,Methanol
55,0.13,0.205,0.077,0.117,100ppm,Methanol
56,0.102,0.207,0.079,0.143,100ppm,Methanol
57,0.109,0.198,0.08,0.114,100ppm,Methanol
58,0.12,0.198,0.077,0.144,100ppm,Methanol
59,0.112,0.196,0.081,0.13,100ppm,Methanol
60,0.102,0.208,0.082,0.112,100ppm,Methanol
61,0.106,0.204,0.081,0.116,100ppm,Methanol
62,0.112,0.212,0.086,0.135,100ppm,Methanol
63,0.113,0.2,0.086,0.113,100ppm,Methanol
64,0.109,0.208,0.077,0.142,100ppm,Methanol
65,0.103,0.211,0.081,0.124,100ppm,Methanol
66,0.104,0.197,0.09,0.132,100ppm,Methanol
67,0.113,0.214,0.085,0.136,100ppm,Methanol
68,0.119,0.211,0.085,0.127,100ppm,Methanol
69,0.115,0.214,0.084,0.129,100ppm,Methanol
70,0.107,0.201,0.081,0.127,100ppm,Methanol
71,0.123,0.211,0.084,0.12,100ppm,Methanol
72,0.114,0.202,0.076,0.135,100ppm,Methanol
73,0.11,0.207,0.092,0.135,100ppm,Methanol
74,0.111,0.214,0.089,0.11,100ppm,Methanol
75,0.125,0.207,0.082,0.135,100ppm,Methanol
76,0.112,0.212,0.077,0.113,100ppm,Methanol
77,0.123,0.215,0.079,0.127,100ppm,Methanol
78,0.109,0.206,0.079,0.138,100ppm,Methanol
79,0.121,0.214,0.079,0.135,100ppm,Methanol
80,0.121,0.215,0.081,0.127,100ppm,Methanol
81,0.108,0.195,0.08,0.134,100ppm,Methanol
82,0.1,0.195,0.077,0.116,100ppm,Methanol
83,0.106,0.204,0.08,0.134,100ppm,Methanol
84,0.106,0.207,0.087,0.143,100ppm,Methanol
85,0.11,0.212,0.09,0.133,100ppm,Methanol
86,0.117,0.204,0.091,0.126,100ppm,Methanol
87,0.121,0.201,0.091,0.14,100ppm,Methanol
88,0.116,0.207,0.078,0.128,100ppm,Methanol
89,0.112,0.2,0.077,0.121,100ppm,Methanol
90,0.123,0.198,0.083,0.139,100ppm,Methanol
91,0.113,0.202,0.091,0.126,100ppm,Methanol
92,0.125,0.206,0.081,0.128,100ppm,Methanol
93,0.114,0.211,0.09,0.112,100ppm,Methanol
94,0.106,0.212,0.079,0.124,100ppm,Methanol
95,0.126,0.207,0.079,0.13,100ppm,Methanol
96,0.1,0.209,0.086,0.112,100ppm,Methanol
97,0.114,0.203,0.087,0.139,100ppm,Methanol
98,0.113,0.207,0.09,0.122,100ppm,Methanol
99,0.126,0.202,0.088,0.113,100ppm,Methanol
100,0.114,0.197,0.084,0.132,100ppm,Methanol
101,0.126,0.201,0.076,0.127,100ppm,Methanol
102,0.106,0.202,0.084,0.135,100ppm,Methanol
103,0.102,0.214,0.081,0.114,100ppm,Methanol
104,0.128,0.205,0.089,0.14,100ppm,Methanol
105,0.118,0.212,0.085,0.137,100ppm,Methanol
106,0.124,0.203,0.081,0.118,100ppm,Methanol
107,0.105,0.211,0.08,0.135,100ppm,Methanol
108,0.109,0.201,0.078,0.119,100ppm,Methanol
109,0.122,0.208,0.084,0.113,100ppm,Methanol
110,0.1,0.212,0.088,0.137,100ppm,Methanol
111,0.113,0.215,0.091,0.119,100ppm,Methanol
112,0.117,0.203,0.078,0.125,100ppm,Methanol
113,0.113,0.199,0.092,0.138,100ppm,Methanol
114,0.112,0.205,0.078,0.119,100ppm,Methanol
115,0.108,0.206,0.092,0.122,100ppm,Methanol
116,0.13,0.2,0.08,0.114,100ppm,Methanol
117,0.118,0.197,0.079,0.131,100ppm,Methanol
118,0.116,0.2,0.08,0.116,100ppm,Methanol
119,0.108,0.204,0.077,0.11,100ppm,Methanol
120,0.105,0.201,0.09,0.14,100ppm,Methanol
121,0.109,0.199,0.091,0.138,100ppm,Methanol
122,0.102,0.197,0.088,0.137,100ppm,Methanol
123,0.125,0.215,0.091,0.111,100ppm,Methanol
124,0.126,0.209,0.088,0.13,100ppm,Methanol
125,0.122,0.207,0.086,0.116,100ppm,Methanol
126,0.101,0.202,0.09,0.127,100ppm,Methanol
127,0.105,0.213,0.082,0.132,100ppm,Methanol
128,0.106,0.199,0.088,0.121,100ppm,Methanol
129,0.105,0.206,0.089,0.144,100ppm,Methanol
130,0.125,0.205,0.085,0.112,100ppm,Methanol
131,0.109,0.195,0.077,0.115,100ppm,Methanol
132,0.101,0.208,0.088,0.126,100ppm,Methanol
133,0.11,0.199,0.092,0.126,100ppm,Methanol
134,0.121,0.202,0.076,0.138,100ppm,Methanol
135,0.107,0.212,0.082,0.121,100ppm,Methanol
136,0.113,0.198,0.085,0.128,100ppm,Methanol
137,0.122,0.214,0.089,0.125,100ppm,Methanol
138,0.129,0.207,0.082,0.143,100ppm,Methanol
139,0.122,0.196,0.085,0.113,100ppm,Methanol
140,0.114,0.195,0.089,0.119,100ppm,Methanol
141,0.106,0.198,0.087,0.135,100ppm,Methanol
142,0.11,0.205,0.089,0.136,100ppm,Methanol
143,0.111,0.198,0.088,0.12,100ppm,Methanol
144,0.122,0.207,0.082,0.137,100ppm,Methanol
145,0.103,0.208,0.078,0.137,100ppm,Methanol
146,0.123,0.207,0.081,0.117,100ppm,Methanol
147,0.116,0.202,0.091,0.113,100ppm,Methanol
148,0.129,0.198,0.086,0.138,100ppm,Methanol
149,0.1,0.203,0.089,0.124,100ppm,Methanol
150,0.109,0.214,0.08,0.135,100ppm,Methanol
151,0.105,0.2,0.081,0.132,100ppm,Methanol
152,0.11,0.209,0.081,0.11,100ppm,Methanol
153,0.106,0.207,0.092,0.132,100ppm,Methanol
154,0.1,0.215,0.09,0.125,100ppm,Methanol
155,0.126,0.196,0.084,0.129,100ppm,Methanol
156,0.128,0.205,0.08,0.136,100ppm,Methanol
157,0.124,0.213,0.077,0.121,100ppm,Methanol
158,0.108,0.201,0.081,0.112,100ppm,Methanol
159,0.125,0.196,0.083,0.12,100ppm,Methanol
160,0.104,0.204,0.081,0.133,100ppm,Methanol
161,0.128,0.207,0.079,0.142,100ppm,Methanol
162,0.114,0.207,0.088,0.112,100ppm,Methanol
163,0.122,0.214,0.092,0.125,100ppm,Methanol
164,0.118,0.212,0.087,0.122,100ppm,Methanol
165,0.102,0.212,0.087,0.132,100ppm,Methanol
166,0.13,0.213,0.088,0.144,100ppm,Methanol
167,0.103,0.2,0.085,0.122,100ppm,Methanol
168,0.113,0.215,0.086,0.137,100ppm,Methanol
169,0.109,0.197,0.077,0.132,100ppm,Methanol
170,0.125,0.2,0.08,0.129,100ppm,Methanol
171,0.118,0.205,0.092,0.129,100ppm,Methanol
172,0.11,0.213,0.081,0.13,100ppm,Methanol
173,0.106,0.212,0.091,0.117,100ppm,Methanol
174,0.109,0.199,0.076,0.129,100ppm,Methanol
175,0.119,0.213,0.091,0.137,100ppm,Methanol
176,0.1,0.195,0.092,0.139,100ppm,Methanol
177,0.102,0.195,0.086,0.134,100ppm,Methanol
178,0.107,0.209,0.083,0.114,100ppm,Methanol
179,0.127,0.211,0.08,0.12,100ppm,Methanol
180,0.108,0.195,0.08,0.133,100ppm,Methanol
181,0.12,0.197,0.078,0.132,100ppm,Methanol
182,0.126,0.214,0.077,0.127,100ppm,Methanol
183,0.128,0.207,0.078,0.11,100ppm,Methanol
184,0.114,0.197,0.091,0.133,100ppm,Methanol
185,0.122,0.197,0.088,0.124,100ppm,Methanol
186,0.127,0.203,0.09,0.133,100ppm,Methanol
187,0.119,0.203,0.088,0.145,100ppm,Methanol
188,0.112,0.204,0.091,0.138,100ppm,Methanol
189,0.128,0.196,0.092,0.142,100ppm,Methanol
190,0.122,0.196,0.079,0.111,100ppm,Methanol
191,0.117,0.215,0.085,0.113,100ppm,Methanol
192,0.12,0.205,0.078,0.132,100ppm,Methanol
193,0.108,0.196,0.078,0.144,100ppm,Methanol
194,0.126,0.211,0.083,0.119,100ppm,Methanol
195,0.101,0.208,0.081,0.119,100ppm,Methanol
196,0.114,0.21,0.089,0.143,100ppm,Methanol
197,0.105,0.198,0.09,0.137,100ppm,Methanol
198,0.116,0.215,0.083,0.12,100ppm,Methanol
199,0.124,0.197,0.087,0.14,100ppm,Methanol
200,0.102,0.201,0.076,0.145,100ppm,Methanol
201,0.103,0.205,0.092,0.143,100ppm,Methanol
202,0.124,0.148,0.075,0.28,100ppm,Ethanol
203,0.135,0.141,0.079,0.277,100ppm,Ethanol
204,0.123,0.15,0.063,0.293,100ppm,Ethanol
205,0.119,0.144,0.082,0.278,100ppm,Methanol
206,0.119,0.138,0.067,0.284,100ppm,1-Butanol
207,0.133,0.148,0.08,0.286,100ppm,1-Butanol
208,0.135,0.147,0.078,0.289,100ppm,1-Butanol
209,0.13,0.149,0.078,0.281,100ppm,1-Butanol
210,0.117,0.14,0.063,0.28,100ppm,1-Butanol
211,0.124,0.138,0.075,0.282,100ppm,1-Propanol
212,0.13,0.141,0.065,0.277,100ppm,1-Propanol
213,0.134,0.145,0.074,0.283,100ppm,1-Propanol
214,0.116,0.144,0.064,0.276,100ppm,1-Propanol
215,0.132,0.148,0.073,0.294,100ppm,1-Propanol
216,0.117,0.152,0.075,0.279,100ppm,1-Propanol
217,0.128,0.146,0.078,0.292,100ppm,1-Propanol
218,0.122,0.145,0.066,0.291,100ppm,1-Propanol
219,0.13,0.148,0.075,0.276,100ppm,1-Propanol
220,0.136,0.139,0.065,0.295,100ppm,Ethanol
221,0.12,0.139,0.069,0.272,100ppm,Ethanol
222,0.127,0.142,0.07,0.272,100ppm,Ethanol
223,0.134,0.144,0.076,0.275,100ppm,Ethanol
224,0.13,0.141,0.078,0.279,100ppm,Ethanol
225,0.129,0.147,0.074,0.28,100ppm,Ethanol
226,0.122,0.139,0.078,0.277,100ppm,Ethanol
227,0.128,0.152,0.067,0.294,100ppm,Ethanol
228,0.115,0.141,0.073,0.279,100ppm,Ethanol
229,0.128,0.151,0.069,0.295,100ppm,Ethanol
230,0.128,0.15,0.066,0.272,100ppm,Ethanol
231,0.12,0.147,0.068,0.287,100ppm,Ethanol
232,0.116,0.143,0.068,0.278,100ppm,Ethanol
233,0.123,0.146,0.081,0.29,100ppm,Ethanol
234,0.115,0.147,0.077,0.291,100ppm,Ethanol
235,0.134,0.152,0.073,0.289,100ppm,Ethanol
236,0.121,0.139,0.076,0.278,100ppm,Ethanol
237,0.13,0.15,0.08,0.289,100ppm,Ethanol
238,0.12,0.15,0.067,0.291,100ppm,Ethanol
239,0.128,0.151,0.08,0.272,100ppm,Ethanol
240,0.126,0.15,0.063,0.275,100ppm,Ethanol
241,0.119,0.14,0.073,0.272,100ppm,Ethanol
242,0.116,0.148,0.07,0.273,100ppm,Ethanol
243,0.135,0.147,0.071,0.288,100ppm,Ethanol
244,0.122,0.149,0.065,0.294,100ppm,Ethanol
245,0.116,0.141,0.063,0.295,100ppm,Ethanol
246,0.123,0.151,0.078,0.285,100ppm,Ethanol
247,0.116,0.141,0.071,0.281,100ppm,Ethanol
248,0.126,0.149,0.066,0.284,100ppm,Ethanol
249,0.13,0.138,0.068,0.291,100ppm,Ethanol
250,0.131,0.151,0.067,0.294,100ppm,Ethanol
251,0.116,0.146,0.076,0.293,100ppm,Ethanol
252,0.121,0.147,0.068,0.295,100ppm,Ethanol
253,0.115,0.142,0.082,0.273,100ppm,Ethanol
254,0.129,0.144,0.081,0.285,100ppm,Ethanol
255,0.128,0.141,0.079,0.289,100ppm,Ethanol
256,0.12,0.141,0.082,0.28,100ppm,Ethanol
257,0.118,0.146,0.079,0.282,100ppm,Ethanol
258,0.117,0.144,0.066,0.288,100ppm,Ethanol
259,0.121,0.141,0.082,0.29,100ppm,Ethanol
260,0.125,0.149,0.072,0.283,100ppm,Ethanol
261,0.132,0.143,0.065,0.293,100ppm,Ethanol
262,0.117,0.144,0.066,0.289,100ppm,Ethanol
263,0.133,0.141,0.067,0.29,100ppm,Ethanol
264,0.134,0.141,0.069,0.28,100ppm,Ethanol
265,0.121,0.141,0.074,0.286,100ppm,Ethanol
266,0.127,0.144,0.066,0.282,100ppm,Ethanol
267,0.124,0.14,0.081,0.286,100ppm,Ethanol
268,0.12,0.14,0.073,0.28,100ppm,Ethanol
269,0.13,0.143,0.081,0.275,100ppm,Ethanol
270,0.132,0.14,0.079,0.294,100ppm,Ethanol
271,0.125,0.152,0.07,0.29,100ppm,Ethanol
272,0.125,0.144,0.074,0.278,100ppm,Ethanol
273,0.117,0.143,0.079,0.276,100ppm,Ethanol
274,0.127,0.15,0.068,0.277,100ppm,Ethanol
275,0.116,0.149,0.077,0.273,100ppm,Ethanol
276,0.132,0.151,0.075,0.273,100ppm,Ethanol
277,0.135,0.144,0.07,0.284,100ppm,Ethanol
278,0.132,0.141,0.066,0.281,100ppm,Ethanol
279,0.119,0.146,0.074,0.273,100ppm,Ethanol
280,0.129,0.144,0.078,0.273,100ppm,Ethanol
281,0.136,0.15,0.067,0.282,100ppm,Ethanol
282,0.116,0.151,0.08,0.292,100ppm,Ethanol
283,0.127,0.144,0.065,0.287,100ppm,Ethanol
284,0.13,0.138,0.071,0.273,100ppm,Ethanol
285,0.117,0.142,0.074,0.273,100ppm,Ethanol
286,0.126,0.147,0.067,0.29,100ppm,Ethanol
287,0.116,0.142,0.081,0.293,100ppm,Ethanol
288,0.127,0.151,0.075,0.274,100ppm,Ethanol
289,0.115,0.143,0.064,0.28,100ppm,Ethanol
290,0.129,0.151,0.078,0.288,100ppm,Ethanol
291,0.124,0.151,0.075,0.286,100ppm,Ethanol
292,0.125,0.148,0.066,0.272,100ppm,Ethanol
293,0.129,0.14,0.065,0.283,100ppm,Ethanol
294,0.124,0.142,0.082,0.295,100ppm,Ethanol
295,0.135,0.149,0.067,0.286,100ppm,Ethanol
296,0.13,0.146,0.071,0.286,100ppm,Ethanol
297,0.128,0.149,0.071,0.288,100ppm,Ethanol
298,0.124,0.145,0.076,0.282,100ppm,Ethanol
299,0.132,0.145,0.08,0.289,100ppm,Ethanol
300,0.129,0.149,0.078,0.291,100ppm,Ethanol
301,0.135,0.148,0.067,0.277,100ppm,Ethanol
302,0.117,0.152,0.065,0.294,100ppm,Ethanol
303,0.128,0.151,0.067,0.278,100ppm,Ethanol
304,0.116,0.142,0.082,0.278,100ppm,Ethanol
305,0.13,0.148,0.071,0.284,100ppm,Ethanol
306,0.117,0.148,0.067,0.293,100ppm,Ethanol
307,0.136,0.144,0.068,0.272,100ppm,Ethanol
308,0.135,0.151,0.066,0.295,100ppm,Ethanol
309,0.131,0.143,0.079,0.274,100ppm,Ethanol
310,0.117,0.146,0.074,0.294,100ppm,Ethanol
311,0.116,0.15,0.066,0.291,100ppm,Ethanol
312,0.133,0.139,0.075,0.284,100ppm,Ethanol
313,0.131,0.141,0.08,0.29,100ppm,Ethanol
314,0.131,0.147,0.075,0.285,100ppm,Ethanol
315,0.132,0.146,0.071,0.283,100ppm,Ethanol
316,0.12,0.138,0.082,0.283,100ppm,Ethanol
317,0.116,0.148,0.082,0.283,100ppm,Ethanol
318,0.118,0.138,0.072,0.274,100ppm,Ethanol
319,0.132,0.149,0.073,0.294,100ppm,Ethanol
320,0.135,0.146,0.068,0.285,100ppm,Ethanol
321,0.126,0.139,0.069,0.282,100ppm,Ethanol
322,0.133,0.145,0.077,0.282,100ppm,Ethanol
323,0.115,0.144,0.065,0.287,100ppm,Ethanol
324,0.115,0.145,0.074,0.278,100ppm,Ethanol
325,0.126,0.139,0.077,0.288,100ppm,Ethanol
326,0.116,0.147,0.079,0.279,100ppm,Ethanol
327,0.12,0.142,0.068,0.288,100ppm,Ethanol
328,0.124,0.146,0.075,0.289,100ppm,Ethanol
329,0.121,0.14,0.079,0.278,100ppm,Ethanol
330,0.122,0.147,0.07,0.294,100ppm,Ethanol
331,0.135,0.151,0.075,0.274,100ppm,Ethanol
332,0.123,0.138,0.067,0.272,100ppm,Ethanol
333,0.127,0.139,0.072,0.288,100ppm,Ethanol
334,0.116,0.138,0.067,0.291,100ppm,Ethanol
335,0.134,0.151,0.078,0.277,100ppm,Ethanol
336,0.132,0.152,0.068,0.275,100ppm,Ethanol
337,0.117,0.14,0.073,0.294,100ppm,Ethanol
338,0.13,0.15,0.079,0.286,100ppm,Ethanol
339,0.135,0.145,0.07,0.274,100ppm,Ethanol
340,0.129,0.147,0.076,0.275,100ppm,Ethanol
341,0.135,0.142,0.072,0.275,100ppm,Ethanol
342,0.127,0.141,0.065,0.276,100ppm,Ethanol
343,0.117,0.141,0.074,0.281,100ppm,Ethanol
344,0.133,0.144,0.065,0.283,100ppm,Ethanol
345,0.126,0.152,0.073,0.277,100ppm,Ethanol
346,0.135,0.151,0.081,0.289,100ppm,Ethanol
347,0.12,0.139,0.066,0.292,100ppm,Ethanol
348,0.131,0.151,0.078,0.282,100ppm,Ethanol
349,0.125,0.148,0.079,0.288,100ppm,Ethanol
350,0.115,0.151,0.073,0.275,100ppm,Ethanol
351,0.131,0.14,0.08,0.279,100ppm,Ethanol
352,0.123,0.14,0.066,0.285,100ppm,Ethanol
353,0.119,0.141,0.077,0.294,100ppm,Ethanol
354,0.122,0.151,0.066,0.284,100ppm,Ethanol
355,0.126,0.151,0.069,0.274,100ppm,Ethanol
356,0.128,0.144,0.067,0.28,100ppm,Ethanol
357,0.124,0.141,0.075,0.295,100ppm,Ethanol
358,0.115,0.138,0.067,0.29,100ppm,Ethanol
359,0.118,0.139,0.074,0.279,100ppm,Ethanol
360,0.133,0.151,0.077,0.275,100ppm,Ethanol
361,0.127,0.146,0.065,0.273,100ppm,Ethanol
362,0.129,0.152,0.07,0.274,100ppm,Ethanol
363,0.136,0.15,0.075,0.291,100ppm,Ethanol
364,0.135,0.148,0.07,0.291,100ppm,Ethanol
365,0.133,0.148,0.078,0.276,100ppm,Ethanol
366,0.134,0.151,0.067,0.276,100ppm,Ethanol
367,0.118,0.151,0.069,0.283,100ppm,Ethanol
368,0.134,0.152,0.079,0.295,100ppm,Ethanol
369,0.136,0.143,0.08,0.288,100ppm,Ethanol
370,0.12,0.149,0.078,0.276,100ppm,Ethanol
371,0.133,0.143,0.068,0.282,100ppm,Ethanol
372,0.129,0.149,0.075,0.274,100ppm,Ethanol
373,0.13,0.151,0.063,0.277,100ppm,Ethanol
374,0.117,0.147,0.072,0.286,100ppm,Ethanol
375,0.117,0.142,0.071,0.289,100ppm,Ethanol
376,0.134,0.152,0.065,0.28,100ppm,Ethanol
377,0.12,0.143,0.076,0.274,100ppm,Ethanol
378,0.118,0.142,0.066,0.28,100ppm,Ethanol
379,0.132,0.141,0.068,0.277,100ppm,Ethanol
380,0.129,0.14,0.067,0.293,100ppm,Ethanol
381,0.115,0.149,0.065,0.289,100ppm,Ethanol
382,0.13,0.14,0.068,0.29,100ppm,Ethanol
383,0.118,0.139,0.074,0.278,100ppm,Ethanol
384,0.12,0.144,0.068,0.281,100ppm,Ethanol
385,0.122,0.144,0.064,0.283,100ppm,Ethanol
386,0.128,0.147,0.078,0.276,100ppm,Ethanol
387,0.12,0.15,0.081,0.273,100ppm,Ethanol
388,0.12,0.142,0.073,0.281,100ppm,Ethanol
389,0.119,0.141,0.081,0.279,100ppm,Ethanol
390,0.12,0.141,0.082,0.282,100ppm,Ethanol
391,0.121,0.147,0.076,0.284,100ppm,Ethanol
392,0.127,0.145,0.08,0.274,100ppm,Ethanol
393,0.116,0.151,0.074,0.275,100ppm,Ethanol
394,0.129,0.14,0.08,0.281,100ppm,Ethanol
395,0.132,0.143,0.071,0.295,100ppm,Ethanol
396,0.129,0.14,0.063,0.288,100ppm,Ethanol
397,0.115,0.147,0.082,0.276,100ppm,Ethanol
398,0.117,0.146,0.07,0.275,100ppm,Ethanol
399,0.133,0.144,0.073,0.279,100ppm,Ethanol
400,0.135,0.145,0.067,0.287,100ppm,Ethanol
401,0.122,0.149,0.067,0.291,100ppm,Ethanol
402,0.115,0.147,0.076,0.291,100ppm,Ethanol
403,0.147,0.15,0.06,0.201,100ppm,1-Propanol
404,0.141,0.158,0.068,0.197,100ppm,Methanol
405,0.136,0.159,0.061,0.202,100ppm,Methanol
406,0.141,0.165,0.068,0.19,100ppm,Methanol
407,0.149,0.156,0.063,0.18,100ppm,Methanol
408,0.148,0.162,0.064,0.189,100ppm,Methanol
409,0.142,0.15,0.066,0.198,100ppm,Ethanol
410,0.145,0.155,0.062,0.194,100ppm,Ethanol
411,0.137,0.169,0.066,0.198,100ppm,Ethanol
412,0.148,0.161,0.067,0.193,100ppm,Ethanol
413,0.144,0.169,0.061,0.187,100ppm,Ethanol
414,0.143,0.154,0.067,0.18,100ppm,Ethanol
415,0.149,0.15,0.063,0.187,100ppm,Ethanol
416,0.141,0.163,0.061,0.189,100ppm,Ethanol
417,0.136,0.168,0.065,0.188,100ppm,Ethanol
418,0.138,0.169,0.063,0.196,100ppm,Ethanol
419,0.145,0.153,0.066,0.193,100ppm,1-Butanol
420,0.142,0.157,0.061,0.185,100ppm,1-Butanol
421,0.142,0.165,0.067,0.199,100ppm,1-Butanol
422,0.141,0.168,0.065,0.205,100ppm,1-Butanol
423,0.142,0.15,0.068,0.201,100ppm,1-Butanol
424,0.149,0.165,0.065,0.197,100ppm,1-Butanol
425,0.137,0.154,0.066,0.201,100ppm,1-Butanol
426,0.145,0.17,0.063,0.203,100ppm,1-Butanol
427,0.135,0.168,0.061,0.205,100ppm,1-Propanol
428,0.138,0.156,0.065,0.195,100ppm,1-Propanol
429,0.147,0.164,0.063,0.186,100ppm,1-Propanol
430,0.137,0.168,0.061,0.192,100ppm,1-Propanol
431,0.148,0.15,0.065,0.198,100ppm,1-Propanol
432,0.136,0.17,0.063,0.183,100ppm,1-Propanol
433,0.138,0.15,0.063,0.199,100ppm,1-Propanol
434,0.137,0.157,0.06,0.193,100ppm,1-Propanol
435,0.147,0.153,0.061,0.196,100ppm,1-Propanol
436,0.141,0.159,0.064,0.18,100ppm,1-Propanol
437,0.149,0.156,0.061,0.19,100ppm,1-Propanol
438,0.137,0.163,0.063,0.181,100ppm,1-Propanol
439,0.143,0.169,0.06,0.197,100ppm,1-Propanol
440,0.146,0.157,0.066,0.189,100ppm,1-Propanol
441,0.135,0.158,0.068,0.182,100ppm,1-Propanol
442,0.149,0.168,0.061,0.199,100ppm,1-Propanol
443,0.139,0.151,0.068,0.18,100ppm,1-Propanol
444,0.145,0.166,0.067,0.201,100ppm,1-Propanol
445,0.141,0.151,0.063,0.185,100ppm,1-Propanol
446,0.142,0.168,0.067,0.202,100ppm,1-Propanol
447,0.147,0.165,0.067,0.186,100ppm,1-Propanol
448,0.145,0.151,0.066,0.191,100ppm,1-Propanol
449,0.137,0.152,0.066,0.199,100ppm,1-Propanol
450,0.143,0.15,0.066,0.198,100ppm,1-Propanol
451,0.138,0.154,0.066,0.18,100ppm,1-Propanol
452,0.145,0.163,0.062,0.205,100ppm,1-Propanol
453,0.141,0.153,0.061,0.182,100ppm,1-Propanol
454,0.148,0.169,0.061,0.194,100ppm,1-Propanol
455,0.145,0.155,0.06,0.196,100ppm,1-Propanol
456,0.14,0.156,0.062,0.18,100ppm,1-Propanol
457,0.14,0.156,0.067,0.202,100ppm,1-Propanol
458,0.147,0.16,0.062,0.202,100ppm,1-Propanol
459,0.138,0.154,0.066,0.194,100ppm,1-Propanol
460,0.143,0.168,0.068,0.189,100ppm,1-Propanol
461,0.15,0.159,0.065,0.186,100ppm,1-Propanol
462,0.142,0.155,0.068,0.205,100ppm,1-Propanol
463,0.137,0.152,0.06,0.191,100ppm,1-Propanol
464,0.138,0.163,0.061,0.204,100ppm,1-Propanol
465,0.139,0.161,0.066,0.186,100ppm,1-Propanol
466,0.142,0.156,0.065,0.205,100ppm,1-Propanol
467,0.148,0.153,0.067,0.203,100ppm,1-Propanol
468,0.138,0.166,0.066,0.205,100ppm,1-Propanol
469,0.142,0.155,0.061,0.196,100ppm,1-Propanol
470,0.143,0.15,0.062,0.197,100ppm,1-Propanol
471,0.136,0.157,0.061,0.192,100ppm,1-Propanol
472,0.143,0.169,0.067,0.183,100ppm,1-Propanol
473,0.143,0.159,0.067,0.19,100ppm,1-Propanol
474,0.14,0.16,0.064,0.198,100ppm,1-Propanol
475,0.15,0.16,0.066,0.197,100ppm,1-Propanol
476,0.139,0.152,0.066,0.185,100ppm,1-Propanol
477,0.135,0.163,0.068,0.194,100ppm,1-Propanol
478,0.147,0.165,0.068,0.202,100ppm,1-Propanol
479,0.147,0.163,0.065,0.18,100ppm,1-Propanol
480,0.146,0.16,0.061,0.204,100ppm,1-Propanol
481,0.15,0.162,0.066,0.185,100ppm,1-Propanol
482,0.146,0.161,0.067,0.192,100ppm,1-Propanol
483,0.145,0.154,0.064,0.18,100ppm,1-Propanol
