,HKUST-1,Cu(BDC),Cu(BPDC),Cu(BDC)(dabco),Concentration,Type
73,0.429,0.815,0.355,0.55,400ppm,Methanol
74,0.425,0.861,0.364,0.543,400ppm,Methanol
75,0.43,0.855,0.362,0.547,400ppm,Methanol
76,0.424,0.838,0.365,0.544,400ppm,Methanol
77,0.432,0.856,0.356,0.544,400ppm,Methanol
78,0.436,0.836,0.362,0.55,400ppm,Methanol
79,0.433,0.863,0.359,0.554,400ppm,Methanol
80,0.431,0.83,0.363,0.545,400ppm,Methanol
81,0.437,0.863,0.363,0.542,400ppm,Methanol
82,0.433,0.863,0.361,0.55,400ppm,Methanol
83,0.422,0.825,0.362,0.543,400ppm,Methanol
84,0.422,0.838,0.362,0.555,400ppm,Methanol
85,0.435,0.849,0.361,0.545,400ppm,Methanol
86,0.429,0.856,0.355,0.55,400ppm,Methanol
87,0.437,0.816,0.359,0.542,400ppm,Methanol
88,0.431,0.828,0.359,0.551,400ppm,Methanol
89,0.429,0.855,0.363,0.543,400ppm,Methanol
90,0.423,0.851,0.355,0.542,400ppm,Methanol
91,0.423,0.855,0.357,0.548,400ppm,Methanol
92,0.435,0.859,0.356,0.542,400ppm,Methanol
93,0.44,0.833,0.355,0.553,400ppm,Methanol
94,0.43,0.851,0.355,0.544,400ppm,Methanol
95,0.439,0.817,0.359,0.547,400ppm,Methanol
96,0.437,0.851,0.359,0.553,400ppm,Methanol
97,0.428,0.858,0.362,0.551,400ppm,Methanol
98,0.427,0.83,0.36,0.554,400ppm,Methanol
99,0.425,0.848,0.359,0.55,400ppm,Methanol
100,0.438,0.854,0.355,0.554,400ppm,Methanol
101,0.439,0.824,0.362,0.549,400ppm,Methanol
102,0.438,0.861,0.357,0.553,400ppm,Methanol
103,0.426,0.847,0.355,0.555,400ppm,Methanol
104,0.426,0.86,0.365,0.552,400ppm,Methanol
105,0.434,0.834,0.357,0.546,400ppm,Methanol
106,0.432,0.843,0.365,0.547,400ppm,Methanol
107,0.432,0.827,0.355,0.546,400ppm,Methanol
108,0.427,0.835,0.356,0.553,400ppm,Methanol
109,0.434,0.845,0.358,0.543,400ppm,Methanol
110,0.423,0.829,0.357,0.553,400ppm,Methanol
111,0.422,0.861,0.357,0.549,400ppm,Methanol
112,0.434,0.865,0.356,0.555,400ppm,Methanol
113,0.429,0.838,0.359,0.548,400ppm,Methanol
114,0.435,0.86,0.357,0.544,400ppm,Methanol
115,0.433,0.818,0.355,0.543,400ppm,Methanol
116,0.423,0.84,0.359,0.554,400ppm,Methanol
117,0.424,0.828,0.358,0.547,400ppm,Methanol
118,0.422,0.815,0.363,0.547,400ppm,Methanol
119,0.436,0.857,0.364,0.554,400ppm,Methanol
120,0.426,0.86,0.36,0.549,400ppm,Methanol
121,0.423,0.861,0.363,0.544,400ppm,Methanol
122,0.431,0.833,0.363,0.544,400ppm,Methanol
123,0.432,0.84,0.355,0.544,400ppm,Methanol
124,0.423,0.824,0.358,0.545,400ppm,Methanol
125,0.428,0.841,0.358,0.552,400ppm,Methanol
126,0.436,0.847,0.364,0.554,400ppm,Methanol
127,0.44,0.842,0.356,0.549,400ppm,Methanol
128,0.43,0.829,0.357,0.549,400ppm,Methanol
129,0.423,0.826,0.365,0.552,400ppm,Methanol
130,0.434,0.828,0.356,0.542,400ppm,Methanol
131,0.439,0.816,0.364,0.543,400ppm,Methanol
132,0.425,0.83,0.358,0.545,400ppm,Methanol
133,0.44,0.821,0.364,0.546,400ppm,Methanol
134,0.433,0.865,0.357,0.548,400ppm,Methanol
135,0.432,0.833,0.361,0.55,400ppm,Methanol
136,0.423,0.833,0.356,0.552,400ppm,Methanol
137,0.424,0.855,0.357,0.547,400ppm,Methanol
138,0.429,0.845,0.364,0.545,400ppm,Methanol
139,0.43,0.817,0.357,0.554,400ppm,Methanol
140,0.437,0.843,0.36,0.542,400ppm,Methanol
141,0.435,0.818,0.362,0.543,400ppm,Methanol
142,0.429,0.863,0.364,0.55,400ppm,Methanol
143,0.425,0.842,0.365,0.546,400ppm,Methanol
144,0.432,0.837,0.358,0.553,400ppm,Methanol
145,0.437,0.851,0.363,0.554,400ppm,Methanol
146,0.44,0.817,0.36,0.555,400ppm,Methanol
147,0.425,0.816,0.356,0.553,400ppm,Methanol
148,0.424,0.847,0.358,0.546,400ppm,Methanol
149,0.426,0.824,0.357,0.543,400ppm,Methanol
150,0.422,0.829,0.364,0.544,400ppm,Methanol
151,0.425,0.83,0.358,0.543,400ppm,Methanol
152,0.427,0.823,0.355,0.554,400ppm,Methanol
153,0.422,0.819,0.365,0.547,400ppm,Methanol
154,0.433,0.818,0.365,0.543,400ppm,Methanol
155,0.427,0.831,0.356,0.55,400ppm,Methanol
156,0.424,0.844,0.361,0.555,400ppm,Methanol
157,0.424,0.851,0.355,0.547,400ppm,Methanol
158,0.432,0.859,0.36,0.548,400ppm,Methanol
159,0.433,0.837,0.356,0.546,400ppm,Methanol
160,0.434,0.825,0.358,0.549,400ppm,Methanol
161,0.43,0.838,0.356,0.548,400ppm,Methanol
162,0.43,0.862,0.358,0.548,400ppm,Methanol
163,0.428,0.855,0.36,0.555,400ppm,Methanol
164,0.43,0.859,0.365,0.55,400ppm,Methanol
165,0.423,0.861,0.363,0.555,400ppm,Methanol
166,0.423,0.85,0.362,0.554,400ppm,Methanol
167,0.438,0.818,0.36,0.542,400ppm,Methanol
168,0.436,0.858,0.355,0.545,400ppm,Methanol
169,0.429,0.821,0.355,0.554,400ppm,Methanol
170,0.437,0.855,0.357,0.543,400ppm,Methanol
171,0.424,0.832,0.361,0.543,400ppm,Methanol
172,0.434,0.843,0.356,0.555,400ppm,Methanol
173,0.436,0.86,0.359,0.555,400ppm,Methanol
174,0.429,0.859,0.355,0.548,400ppm,Methanol
175,0.428,0.855,0.359,0.555,400ppm,Methanol
176,0.421,0.846,0.357,0.555,400ppm,Methanol
177,0.422,0.819,0.362,0.553,400ppm,Methanol
178,0.433,0.836,0.363,0.552,400ppm,Methanol
179,0.433,0.829,0.364,0.542,400ppm,Methanol
180,0.432,0.856,0.364,0.542,400ppm,Methanol
181,0.434,0.858,0.358,0.551,400ppm,Methanol
182,0.422,0.846,0.362,0.551,400ppm,Methanol
183,0.435,0.84,0.365,0.547,400ppm,Methanol
184,0.428,0.833,0.357,0.554,400ppm,Methanol
185,0.427,0.858,0.358,0.547,400ppm,Methanol
186,0.425,0.852,0.357,0.551,400ppm,Methanol
187,0.427,0.865,0.36,0.55,400ppm,Methanol
188,0.438,0.842,0.361,0.551,400ppm,Methanol
189,0.427,0.827,0.359,0.545,400ppm,Methanol
190,0.426,0.852,0.359,0.555,400ppm,Methanol
191,0.438,0.819,0.365,0.552,400ppm,Methanol
192,0.434,0.82,0.361,0.543,400ppm,Methanol
193,0.434,0.833,0.36,0.546,400ppm,Methanol
194,0.438,0.816,0.356,0.548,400ppm,Methanol
195,0.438,0.824,0.358,0.545,400ppm,Methanol
196,0.434,0.831,0.363,0.553,400ppm,Methanol
197,0.422,0.865,0.363,0.549,400ppm,Methanol
198,0.436,0.839,0.363,0.551,400ppm,Methanol
199,0.421,0.815,0.355,0.549,400ppm,Methanol
200,0.434,0.839,0.359,0.547,400ppm,Methanol
201,0.438,0.826,0.363,0.548,400ppm,Methanol
202,0.537,0.697,0.295,1.074,400ppm,Ethanol
203,0.548,0.694,0.304,1.13,400ppm,Methanol
204,0.536,0.698,0.302,1.065,400ppm,Ethanol
205,0.547,0.691,0.295,1.15,400ppm,Ethanol
206,0.537,0.696,0.298,1.051,400ppm,1-Butanol
207,0.537,0.701,0.292,1.069,400ppm,1-Butanol
208,0.535,0.699,0.299,1.104,400ppm,Ethanol
209,0.548,0.701,0.296,1.069,400ppm,Ethanol
210,0.541,0.699,0.301,1.168,400ppm,1-Butanol
211,0.543,0.695,0.302,1.065,400ppm,1-Butanol
212,0.541,0.69,0.296,1.082,400ppm,1-Propanol
213,0.539,0.696,0.3,1.135,400ppm,Ethanol
214,0.548,0.699,0.296,1.094,400ppm,Ethanol
215,0.54,0.693,0.306,1.164,400ppm,Ethanol
216,0.535,0.698,0.307,1.137,400ppm,1-Propanol
217,0.537,0.695,0.292,1.119,400ppm,1-Propanol
218,0.539,0.696,0.295,1.11,400ppm,1-Propanol
219,0.538,0.702,0.3,1.113,400ppm,1-Propanol
220,0.544,0.698,0.303,1.073,400ppm,1-Propanol
221,0.542,0.694,0.306,1.138,400ppm,1-Propanol
222,0.539,0.696,0.296,1.099,400ppm,Ethanol
223,0.539,0.692,0.304,1.054,400ppm,Ethanol
224,0.55,0.699,0.298,1.071,400ppm,Ethanol
225,0.54,0.69,0.292,1.152,400ppm,Ethanol
226,0.549,0.695,0.302,1.12,400ppm,Ethanol
227,0.539,0.704,0.302,1.109,400ppm,Ethanol
228,0.55,0.701,0.304,1.152,400ppm,Ethanol
229,0.539,0.693,0.302,1.144,400ppm,Ethanol
230,0.536,0.704,0.303,1.061,400ppm,Ethanol
231,0.54,0.698,0.297,1.138,400ppm,Methanol
232,0.54,0.699,0.293,1.087,400ppm,Methanol
233,0.54,0.692,0.303,1.093,400ppm,Methanol
234,0.536,0.7,0.297,1.118,400ppm,Ethanol
235,0.536,0.694,0.307,1.143,400ppm,Ethanol
236,0.541,0.701,0.294,1.079,400ppm,Ethanol
237,0.536,0.69,0.301,1.06,400ppm,Ethanol
238,0.549,0.699,0.3,1.113,400ppm,Ethanol
239,0.536,0.702,0.299,1.147,400ppm,Ethanol
240,0.538,0.7,0.298,1.077,400ppm,Ethanol
241,0.538,0.693,0.297,1.055,400ppm,Ethanol
242,0.544,0.697,0.308,1.111,400ppm,Ethanol
243,0.548,0.7,0.292,1.168,400ppm,Ethanol
244,0.547,0.704,0.3,1.16,400ppm,Ethanol
245,0.545,0.701,0.302,1.147,400ppm,Ethanol
246,0.535,0.701,0.3,1.083,400ppm,Ethanol
247,0.535,0.691,0.299,1.091,400ppm,Ethanol
248,0.538,0.702,0.296,1.065,400ppm,Ethanol
249,0.547,0.695,0.295,1.139,400ppm,Ethanol
250,0.541,0.69,0.305,1.123,400ppm,Ethanol
251,0.539,0.703,0.304,1.127,400ppm,Ethanol
252,0.548,0.69,0.305,1.105,400ppm,Ethanol
253,0.543,0.7,0.302,1.145,400ppm,Ethanol
254,0.535,0.703,0.292,1.094,400ppm,Ethanol
255,0.546,0.69,0.293,1.159,400ppm,Ethanol
256,0.539,0.695,0.304,1.102,400ppm,Ethanol
257,0.542,0.701,0.298,1.057,400ppm,Ethanol
258,0.541,0.691,0.294,1.121,400ppm,Ethanol
259,0.535,0.697,0.292,1.113,400ppm,Ethanol
260,0.55,0.702,0.297,1.17,400ppm,Ethanol
261,0.54,0.699,0.294,1.07,400ppm,Ethanol
262,0.546,0.694,0.293,1.121,400ppm,Ethanol
263,0.543,0.699,0.303,1.138,400ppm,Ethanol
264,0.55,0.7,0.295,1.118,400ppm,Ethanol
265,0.542,0.694,0.307,1.138,400ppm,Ethanol
266,0.536,0.704,0.294,1.146,400ppm,Ethanol
267,0.541,0.704,0.304,1.052,400ppm,Ethanol
268,0.546,0.702,0.303,1.082,400ppm,Ethanol
269,0.545,0.693,0.293,1.152,400ppm,Ethanol
270,0.544,0.69,0.301,1.137,400ppm,Ethanol
271,0.549,0.698,0.292,1.147,400ppm,Ethanol
272,0.541,0.704,0.297,1.097,400ppm,Ethanol
273,0.543,0.693,0.301,1.151,400ppm,Ethanol
274,0.538,0.704,0.292,1.082,400ppm,Ethanol
275,0.548,0.69,0.294,1.053,400ppm,Ethanol
276,0.541,0.704,0.293,1.142,400ppm,Ethanol
277,0.546,0.704,0.295,1.057,400ppm,Ethanol
278,0.54,0.702,0.303,1.107,400ppm,Ethanol
279,0.544,0.704,0.293,1.11,400ppm,Ethanol
280,0.544,0.693,0.306,1.121,400ppm,Ethanol
281,0.545,0.699,0.3,1.055,400ppm,Ethanol
282,0.536,0.704,0.307,1.062,400ppm,Ethanol
283,0.547,0.695,0.299,1.159,400ppm,Ethanol
284,0.541,0.698,0.296,1.11,400ppm,Ethanol
285,0.541,0.691,0.303,1.079,400ppm,Ethanol
286,0.54,0.692,0.302,1.112,400ppm,Ethanol
287,0.542,0.695,0.301,1.073,400ppm,Ethanol
288,0.55,0.699,0.304,1.127,400ppm,Ethanol
289,0.541,0.698,0.304,1.065,400ppm,Ethanol
290,0.543,0.696,0.293,1.15,400ppm,Ethanol
291,0.546,0.703,0.294,1.131,400ppm,Ethanol
292,0.535,0.692,0.296,1.059,400ppm,Ethanol
293,0.547,0.696,0.298,1.152,400ppm,Ethanol
294,0.538,0.7,0.299,1.17,400ppm,Ethanol
295,0.545,0.704,0.306,1.095,400ppm,Ethanol
296,0.538,0.703,0.303,1.073,400ppm,Ethanol
297,0.542,0.696,0.295,1.107,400ppm,Ethanol
298,0.538,0.699,0.302,1.108,400ppm,Ethanol
299,0.546,0.703,0.301,1.058,400ppm,Ethanol
300,0.546,0.695,0.292,1.147,400ppm,Ethanol
301,0.535,0.694,0.296,1.072,400ppm,Ethanol
302,0.535,0.699,0.302,1.132,400ppm,Ethanol
303,0.543,0.693,0.293,1.145,400ppm,Ethanol
304,0.535,0.692,0.3,1.165,400ppm,Ethanol
305,0.535,0.704,0.299,1.114,400ppm,Ethanol
306,0.542,0.704,0.305,1.106,400ppm,Ethanol
307,0.546,0.699,0.295,1.086,400ppm,Ethanol
308,0.535,0.694,0.306,1.064,400ppm,Ethanol
309,0.546,0.696,0.295,1.128,400ppm,Ethanol
310,0.549,0.703,0.305,1.063,400ppm,Ethanol
311,0.545,0.69,0.299,1.126,400ppm,Ethanol
312,0.544,0.69,0.305,1.13,400ppm,Ethanol
313,0.549,0.695,0.307,1.132,400ppm,Ethanol
314,0.535,0.696,0.293,1.106,400ppm,Ethanol
315,0.545,0.703,0.306,1.141,400ppm,Ethanol
316,0.54,0.701,0.305,1.091,400ppm,Ethanol
317,0.541,0.7,0.299,1.137,400ppm,Ethanol
318,0.541,0.695,0.3,1.169,400ppm,Ethanol
319,0.537,0.703,0.307,1.151,400ppm,Ethanol
320,0.54,0.691,0.306,1.152,400ppm,Ethanol
321,0.541,0.7,0.294,1.051,400ppm,Ethanol
322,0.549,0.704,0.307,1.141,400ppm,Ethanol
323,0.536,0.694,0.306,1.143,400ppm,Ethanol
324,0.547,0.691,0.304,1.155,400ppm,Ethanol
325,0.544,0.691,0.303,1.155,400ppm,Ethanol
326,0.541,0.704,0.305,1.065,400ppm,Ethanol
327,0.543,0.691,0.301,1.128,400ppm,Ethanol
328,0.543,0.693,0.302,1.052,400ppm,Ethanol
329,0.549,0.698,0.305,1.104,400ppm,Ethanol
330,0.549,0.692,0.293,1.147,400ppm,Ethanol
331,0.538,0.692,0.306,1.114,400ppm,Ethanol
332,0.542,0.691,0.298,1.152,400ppm,Ethanol
333,0.536,0.703,0.295,1.082,400ppm,1-Butanol
334,0.546,0.7,0.293,1.054,400ppm,1-Butanol
335,0.549,0.7,0.307,1.069,400ppm,Ethanol
336,0.55,0.703,0.305,1.101,400ppm,Ethanol
337,0.55,0.696,0.306,1.129,400ppm,Ethanol
338,0.54,0.697,0.301,1.153,400ppm,Ethanol
339,0.544,0.697,0.301,1.136,400ppm,Ethanol
340,0.535,0.7,0.298,1.144,400ppm,Ethanol
341,0.549,0.697,0.3,1.065,400ppm,Ethanol
342,0.541,0.694,0.292,1.077,400ppm,Ethanol
343,0.54,0.692,0.306,1.125,400ppm,Ethanol
344,0.537,0.69,0.303,1.163,400ppm,Ethanol
345,0.546,0.703,0.296,1.06,400ppm,Ethanol
346,0.545,0.695,0.293,1.115,400ppm,Ethanol
347,0.549,0.692,0.304,1.094,400ppm,Ethanol
348,0.543,0.69,0.307,1.082,400ppm,Ethanol
349,0.549,0.7,0.294,1.159,400ppm,Ethanol
350,0.549,0.693,0.305,1.05,400ppm,Ethanol
351,0.549,0.701,0.3,1.134,400ppm,Ethanol
352,0.542,0.693,0.306,1.061,400ppm,Ethanol
353,0.539,0.693,0.305,1.141,400ppm,Ethanol
354,0.549,0.697,0.305,1.074,400ppm,Ethanol
355,0.547,0.703,0.293,1.059,400ppm,Ethanol
356,0.542,0.7,0.305,1.15,400ppm,Ethanol
357,0.539,0.69,0.303,1.15,400ppm,Ethanol
358,0.544,0.701,0.303,1.114,400ppm,Ethanol
359,0.55,0.691,0.296,1.124,400ppm,Ethanol
360,0.542,0.698,0.3,1.056,400ppm,Ethanol
361,0.545,0.702,0.293,1.11,400ppm,Ethanol
362,0.538,0.696,0.306,1.165,400ppm,Ethanol
363,0.546,0.702,0.303,1.094,400ppm,Ethanol
364,0.54,0.695,0.294,1.111,400ppm,Ethanol
365,0.536,0.701,0.304,1.119,400ppm,Ethanol
366,0.539,0.699,0.3,1.15,400ppm,Ethanol
367,0.541,0.704,0.303,1.136,400ppm,Ethanol
368,0.542,0.695,0.296,1.122,400ppm,Ethanol
369,0.546,0.698,0.307,1.1,400ppm,Ethanol
370,0.54,0.701,0.301,1.14,400ppm,Ethanol
371,0.542,0.698,0.295,1.09,400ppm,Ethanol
372,0.548,0.701,0.307,1.118,400ppm,Ethanol
373,0.547,0.696,0.293,1.109,400ppm,Ethanol
374,0.539,0.7,0.293,1.141,400ppm,Ethanol
375,0.545,0.699,0.299,1.086,400ppm,Ethanol
376,0.541,0.692,0.295,1.121,400ppm,Ethanol
377,0.543,0.701,0.294,1.162,400ppm,Ethanol
378,0.543,0.702,0.299,1.151,400ppm,Ethanol
379,0.547,0.692,0.297,1.17,400ppm,Ethanol
380,0.535,0.695,0.294,1.119,400ppm,Ethanol
381,0.535,0.7,0.306,1.098,400ppm,Ethanol
382,0.545,0.697,0.299,1.139,400ppm,Ethanol
383,0.547,0.697,0.301,1.121,400ppm,Ethanol
384,0.545,0.691,0.307,1.11,400ppm,Ethanol
385,0.548,0.696,0.294,1.166,400ppm,Ethanol
386,0.547,0.698,0.295,1.079,400ppm,Ethanol
387,0.537,0.691,0.301,1.112,400ppm,Ethanol
388,0.543,0.699,0.308,1.151,400ppm,Ethanol
389,0.542,0.694,0.303,1.075,400ppm,Ethanol
390,0.539,0.701,0.297,1.165,400ppm,Ethanol
391,0.535,0.695,0.301,1.065,400ppm,Ethanol
392,0.537,0.691,0.307,1.167,400ppm,Ethanol
393,0.548,0.693,0.3,1.1,400ppm,Ethanol
394,0.545,0.691,0.307,1.095,400ppm,Ethanol
395,0.546,0.699,0.295,1.127,400ppm,Ethanol
396,0.54,0.704,0.302,1.151,400ppm,Ethanol
397,0.547,0.702,0.303,1.057,400ppm,Ethanol
398,0.536,0.698,0.293,1.12,400ppm,Ethanol
399,0.536,0.702,0.295,1.075,400ppm,Ethanol
400,0.535,0.702,0.293,1.127,400ppm,Ethanol
401,0.542,0.703,0.292,1.115,400ppm,Ethanol
402,0.542,0.701,0.298,1.116,400ppm,Ethanol
403,0.443,0.65,0.23,0.745,400ppm,1-Propanol
404,0.444,0.637,0.24,0.754,400ppm,Methanol
405,0.449,0.637,0.252,0.767,400ppm,1-Propanol
406,0.448,0.637,0.236,0.773,400ppm,1-Propanol
407,0.443,0.632,0.23,0.751,400ppm,Methanol
408,0.435,0.635,0.236,0.746,400ppm,Methanol
409,0.45,0.637,0.242,0.734,400ppm,Ethanol
410,0.446,0.638,0.256,0.764,400ppm,Ethanol
411,0.44,0.639,0.241,0.759,400ppm,1-Propanol
412,0.448,0.639,0.253,0.739,400ppm,1-Propanol
413,0.44,0.639,0.248,0.735,400ppm,1-Propanol
414,0.441,0.64,0.239,0.736,400ppm,Ethanol
415,0.448,0.65,0.247,0.748,400ppm,Ethanol
416,0.447,0.646,0.248,0.772,400ppm,Ethanol
417,0.444,0.649,0.23,0.764,400ppm,Ethanol
418,0.439,0.634,0.25,0.74,400ppm,1-Butanol
419,0.441,0.646,0.241,0.74,400ppm,1-Propanol
420,0.45,0.635,0.253,0.732,400ppm,1-Propanol
421,0.441,0.638,0.235,0.769,400ppm,1-Butanol
422,0.438,0.634,0.24,0.751,400ppm,1-Butanol
423,0.435,0.639,0.245,0.742,400ppm,1-Butanol
424,0.447,0.642,0.235,0.734,400ppm,1-Butanol
425,0.443,0.644,0.242,0.735,400ppm,1-Butanol
426,0.436,0.644,0.232,0.744,400ppm,1-Butanol
427,0.435,0.635,0.241,0.749,400ppm,1-Propanol
428,0.443,0.651,0.239,0.73,400ppm,1-Propanol
429,0.436,0.639,0.239,0.76,400ppm,1-Propanol
430,0.441,0.639,0.236,0.732,400ppm,1-Propanol
431,0.441,0.639,0.252,0.754,400ppm,1-Propanol
432,0.449,0.65,0.251,0.751,400ppm,1-Propanol
433,0.449,0.642,0.253,0.775,400ppm,1-Propanol
434,0.446,0.63,0.233,0.761,400ppm,1-Propanol
435,0.437,0.642,0.241,0.742,400ppm,1-Propanol
436,0.448,0.645,0.254,0.74,400ppm,1-Propanol
437,0.447,0.639,0.234,0.761,400ppm,1-Propanol
438,0.443,0.637,0.253,0.732,400ppm,1-Propanol
439,0.439,0.635,0.239,0.75,400ppm,1-Propanol
440,0.443,0.652,0.246,0.752,400ppm,1-Propanol
441,0.448,0.642,0.251,0.772,400ppm,1-Propanol
442,0.438,0.632,0.253,0.755,400ppm,1-Propanol
443,0.443,0.636,0.251,0.737,400ppm,1-Propanol
444,0.438,0.646,0.238,0.74,400ppm,1-Propanol
445,0.436,0.648,0.245,0.77,400ppm,1-Propanol
446,0.435,0.636,0.24,0.772,400ppm,1-Propanol
447,0.439,0.636,0.236,0.757,400ppm,1-Propanol
448,0.44,0.65,0.233,0.77,400ppm,1-Propanol
449,0.448,0.644,0.236,0.734,400ppm,1-Propanol
450,0.441,0.644,0.233,0.74,400ppm,1-Propanol
451,0.445,0.636,0.236,0.762,400ppm,1-Propanol
452,0.445,0.647,0.239,0.731,400ppm,1-Propanol
453,0.437,0.634,0.232,0.762,400ppm,1-Propanol
454,0.443,0.637,0.252,0.731,400ppm,1-Propanol
455,0.446,0.647,0.256,0.753,400ppm,1-Propanol
456,0.446,0.644,0.243,0.743,400ppm,1-Propanol
457,0.445,0.647,0.23,0.755,400ppm,1-Propanol
458,0.449,0.632,0.249,0.749,400ppm,1-Propanol
459,0.436,0.641,0.242,0.733,400ppm,1-Propanol
460,0.45,0.647,0.24,0.757,400ppm,1-Propanol
461,0.437,0.636,0.242,0.774,400ppm,1-Propanol
462,0.447,0.638,0.245,0.764,400ppm,1-Propanol
463,0.445,0.651,0.248,0.766,400ppm,1-Propanol
464,0.44,0.636,0.251,0.743,400ppm,1-Propanol
465,0.443,0.65,0.24,0.741,400ppm,1-Propanol
466,0.441,0.65,0.256,0.754,400ppm,1-Butanol
467,0.444,0.636,0.234,0.764,400ppm,1-Butanol
468,0.441,0.639,0.233,0.744,400ppm,1-Propanol
469,0.435,0.649,0.25,0.771,400ppm,1-Propanol
470,0.448,0.632,0.23,0.749,400ppm,1-Propanol
471,0.439,0.642,0.254,0.752,400ppm,1-Propanol
472,0.445,0.63,0.244,0.759,400ppm,1-Propanol
473,0.441,0.649,0.255,0.742,400ppm,1-Propanol
474,0.443,0.636,0.236,0.765,400ppm,1-Propanol
475,0.437,0.633,0.239,0.732,400ppm,1-Propanol
476,0.435,0.65,0.24,0.738,400ppm,1-Propanol
477,0.436,0.63,0.236,0.765,400ppm,1-Propanol
478,0.436,0.651,0.247,0.765,400ppm,1-Propanol
479,0.446,0.635,0.23,0.764,400ppm,1-Propanol
480,0.435,0.644,0.254,0.731,400ppm,1-Propanol
481,0.449,0.652,0.238,0.749,400ppm,1-Propanol
482,0.44,0.65,0.233,0.771,400ppm,1-Propanol
483,0.445,0.632,0.252,0.732,400ppm,1-Propanol
